gamma,time,basin
0.8478478478478478,220,2
0.8488488488488488,220,2
0.8498498498498498,220,2
0.8508508508508509,220,2
0.8518518518518519,220,2
0.8528528528528528,221,2
0.8538538538538538,221,2
0.8548548548548548,221,2
0.8558558558558559,221,2
0.8568568568568569,222,2
0.8578578578578578,222,2
0.8588588588588588,222,2
0.8598598598598598,222,2
0.8608608608608609,222,2
0.8618618618618619,223,2
0.8628628628628628,223,2
0.8638638638638638,223,2
0.8648648648648649,223,2
0.8658658658658659,224,2
0.8668668668668669,224,2
0.8678678678678678,224,2
0.8688688688688688,224,2
0.8698698698698699,225,2
0.8708708708708709,225,2
0.8718718718718719,225,2
0.8728728728728729,226,2
0.8738738738738738,226,2
0.8748748748748749,226,2
0.8758758758758759,226,2
0.8768768768768769,227,2
0.8778778778778779,227,2
0.8788788788788788,227,2
0.8798798798798799,228,2
0.8808808808808809,228,2
0.8818818818818819,228,2
0.8828828828828829,229,2
0.8838838838838838,229,2
0.8848848848848849,229,2
0.8858858858858859,229,2
0.8868868868868869,230,2
0.8878878878878879,230,2
0.8888888888888888,230,2
0.8898898898898899,231,2
0.8908908908908909,231,2
0.8918918918918919,232,2
0.8928928928928929,232,2
0.8938938938938938,232,2
0.8948948948948949,233,2
0.8958958958958959,233,2
0.8968968968968969,233,2
0.8978978978978979,234,2
0.8988988988988988,234,2
0.8998998998998999,234,2
0.9009009009009009,235,2
0.9019019019019019,235,2
0.9029029029029029,236,2
0.9039039039039038,236,2
0.9049049049049049,236,2
0.9059059059059059,237,2
0.9069069069069069,237,2
0.9079079079079079,238,2
0.9089089089089089,238,2
0.9099099099099099,239,2
0.9109109109109109,239,2
0.9119119119119119,240,2
0.9129129129129129,240,2
0.9139139139139139,240,2
0.914914914914915,241,2
0.9159159159159159,241,2
0.9169169169169169,242,2
0.9179179179179179,242,2
0.9189189189189189,243,2
0.91991991991992,243,2
0.9209209209209209,244,2
0.9219219219219219,244,2
0.9229229229229229,245,2
0.9239239239239239,246,2
0.924924924924925,246,2
0.9259259259259259,247,2
0.9269269269269269,247,2
0.9279279279279279,248,2
0.9289289289289289,248,2
0.92992992992993,249,2
0.9309309309309309,250,2
0.9319319319319319,250,2
0.9329329329329329,251,2
0.933933933933934,251,2
0.934934934934935,252,2
0.9359359359359359,253,2
0.9369369369369369,253,2
0.9379379379379379,254,2
0.938938938938939,255,2
0.93993993993994,255,2
0.9409409409409409,256,2
0.9419419419419419,257,2
0.9429429429429429,258,2
0.943943943943944,258,2
0.944944944944945,259,2
0.9459459459459459,260,2
0.9469469469469469,261,2
0.9479479479479479,262,2
0.948948948948949,262,2
0.94994994994995,263,2
0.950950950950951,264,2
0.9519519519519519,265,2
0.9529529529529529,266,2
0.953953953953954,267,2
0.954954954954955,268,2
0.955955955955956,269,2
0.9569569569569569,270,2
0.9579579579579579,271,2
0.958958958958959,272,2
0.95995995995996,273,2
0.960960960960961,274,2
0.9619619619619619,275,2
0.9629629629629629,276,2
0.963963963963964,277,2
0.964964964964965,278,2
0.965965965965966,279,2
0.9669669669669669,280,2
0.9679679679679679,282,2
0.968968968968969,283,2
0.96996996996997,284,2
0.970970970970971,286,2
0.9719719719719719,287,2
0.9729729729729729,288,2
0.973973973973974,290,2
0.974974974974975,291,2
0.975975975975976,293,2
0.9769769769769769,294,2
0.9779779779779779,296,2
0.978978978978979,298,2
0.97997997997998,299,2
0.980980980980981,301,2
0.9819819819819819,303,2
0.9829829829829829,305,2
0.983983983983984,307,2
0.984984984984985,309,2
0.985985985985986,311,2
0.986986986986987,313,2
0.9879879879879879,315,2
0.988988988988989,318,2
0.98998998998999,320,2
0.990990990990991,323,2
0.991991991991992,325,2
0.992992992992993,328,2
0.993993993993994,331,2
0.994994994994995,334,2
0.995995995995996,337,2
0.996996996996997,340,2
0.997997997997998,344,2
0.998998998998999,347,2
1.0,351,2
